#cubename 	 field 	 f1[GHz] 	 f2[GHz] 	 time[sec]
uid___A001_X1ee_Xed6.cube_0.J0510+1800_B3 	 J0510+1800 	 99.275947837 	 101.244697837 	 3295.00800037
uid___A001_X1ee_Xed6.cube_1.J0510+1800_B3 	 J0510+1800 	 98.9710904146 	 100.939840415 	 3295.00800037
uid___A001_X1ee_Xed6.cube_2.J0510+1800_B3 	 J0510+1800 	 88.1693404146 	 86.2005904146 	 3295.00800037
uid___A001_X340_X134.cube_01.J0006-0623_B8 	 J0006-0623 	 412.237033728 	 415.799533728 	 4521.12000083
uid___A001_X340_X134.cube_01.J0241-0815_B8 	 J0241-0815 	 412.237033728 	 415.799533728 	 2884.89599991
uid___A001_X340_X134.cube_23.J0006-0623_B8 	 J0006-0623 	 403.794658728 	 400.216533728 	 4521.12000083
uid___A001_X340_X134.cube_23.J0241-0815_B8 	 J0241-0815 	 403.794658728 	 400.216533728 	 2884.89599991
uid___A001_X5a5_X2.cube_01.J0342-3007_B7 	 J0342-3007 	 339.9242625 	 336.0023875 	 5822.20801163
uid___A001_X5a5_X2.cube_23.J0342-3007_B7 	 J0342-3007 	 348.0023875 	 351.9867625 	 5822.20801163
uid___A001_X5ac_X100b.cube_01.J0253-5441_B8 	 J0253-5441 	 399.670597077 	 403.358097077 	 6931.00800036
uid___A001_X5ac_X100b.cube_2.J0253-5441_B8 	 J0253-5441 	 389.44477147 	 387.49164647 	 6931.00800036
uid___A001_X5ac_X138c.cube_0.J0510+1800_B7 	 J0510+1800 	 343.808046627 	 345.792421627 	 3005.95200444
uid___A001_X5ac_X1fe_01.cube_01.J0334-4008_B3 	 J0334-4008 	 87.9175188031 	 84.1987688031 	 2667.16800022
uid___A001_X5ac_X1fe_01.cube_23.J0334-4008_B3 	 J0334-4008 	 96.1974941081 	 99.9162441081 	 2667.16800022
uid___A001_X5ac_X1fe_02.cube_01.J0334-4008_B3 	 J0334-4008 	 91.66678265 	 87.94803265 	 2963.5199995
uid___A001_X5ac_X1fe_02.cube_23.J0334-4008_B3 	 J0334-4008 	 99.9467123498 	 103.66546235 	 2963.5199995
uid___A001_X5ac_X1fe_03.cube_01.J0334-4008_B3 	 J0334-4008 	 95.4167656675 	 91.6980156675 	 2667.16800022
uid___A001_X5ac_X1fe_03.cube_23.J0334-4008_B3 	 J0334-4008 	 103.696746614 	 107.415496614 	 2667.16800022
uid___A001_X5ac_X1fe_04.cube_01.J0334-4008_B3 	 J0334-4008 	 99.1662123094 	 95.4474623094 	 2667.16800022
uid___A001_X5ac_X1fe_04.cube_23.J0334-4008_B3 	 J0334-4008 	 107.446173737 	 111.164923737 	 2667.16800022
uid___A001_X5ac_X1fe_05.cube_01.J0334-4008_B3 	 J0334-4008 	 102.915585549 	 99.196835549 	 2963.52000046
uid___A001_X5ac_X1fe_05.cube_23.J0334-4008_B3 	 J0334-4008 	 111.195520124 	 114.914270124 	 2963.52000046
