#cubename 	 field 	band  f1[GHz] 	 f2[GHz] 	 time[sec]
uid___A001_X1ed_Xabc.cube_21.J1924-2914_B9.image 	 J1924-2914 9	 680.638918202 	 684.498293202 	 11735.4719992
uid___A001_X1ed_Xaf1.cube_01.J0006-0623_B7.image 	 J0006-0623 7	 290.533900036 	 294.143275036 	 1808.44799995
uid___A001_X1ed_Xaf1.cube_23.J0006-0623_B7.image 	 J0006-0623 7	 282.148150036 	 278.616900036 	 1808.44799995
uid___A001_X1ed_Xf7a.cube_0.J1617-5848_B3.image 	 J1617-5848 3	 86.7096941899 	 85.7878191899 	 7705.15199947
uid___A001_X1ed_Xf7a.cube_0.J1717-3342_B3.image 	 J1717-3342 3	 86.7081628212 	 85.7862878212 	 4161.02400017
uid___A001_X1ee_X135e.cube_01.J1044+0655_B6.image 	 J1044+0655 6	 255.755598061 	 259.927473061 	 2161.1519928
uid___A001_X1ee_X135e.cube_23.J1044+0655_B6.image 	 J1044+0655 6	 245.440671707 	 241.456296707 	 2161.1519928
uid___A001_X1ee_X1d2.cube_0.J1924-2914_B6.image 	 J1924-2914 6	 231.599770865 	 233.615395865 	 2834.49600124
uid___A001_X1ee_X1d2.cube_1.J1924-2914_B6.image 	 J1924-2914 6	 230.048319117 	 232.063944117 	 2834.49600124
uid___A001_X1ee_X1d2.cube_23.J1924-2914_B6.image 	 J1924-2914 6	 218.823395865 	 214.807770865 	 2834.49600124
uid___A001_X1ee_X7b2.cube_0.J2357-5311_B3.image 	 J2357-5311 3	 86.005325 	 84.02095 	 3304.22400093
uid___A001_X1ee_X7b2.cube_1.J2357-5311_B3.image 	 J2357-5311 3	 87.6953124999 	 85.7109374999 	 3304.22400093
uid___A001_X1ee_X7b2.cube_2.J2357-5311_B3.image 	 J2357-5311 3	 96.08345 	 98.067825 	 3304.22400093
uid___A001_X1ee_Xa76.cube_02.J1229+0203_B6.image 	 J1229+0203 6	 228.255760728 	 231.990135728 	 1778.11200047
uid___A001_X1ee_Xa76.cube_1.J1229+0203_B6.image 	 J1229+0203 6	 216.260667759 	 213.698167759 	 1778.11200047
uid___A001_X1ee_Xa9b.cube_01.J1517-2422_B6.image 	 J1517-2422 6	 251.406916336 	 247.297541336 	 2386.94399738
uid___A001_X1ee_Xa9b.cube_01.J1924-2914_B6.image 	 J1924-2914 6	 251.268607082 	 247.284232082 	 2983.68000126
uid___A001_X1ee_Xa9b.cube_23.J1517-2422_B6.image 	 J1517-2422 6	 262.298008007 	 266.407383007 	 2386.94399738
uid___A001_X1ee_Xa9b.cube_23.J1924-2914_B6.image 	 J1924-2914 6	 262.284216726 	 266.268591726 	 2983.68000126
uid___A001_X1ee_Xae3.cube_13.J0541-0211_B7.image 	 J0541-0211 7	 355.477249698 	 359.258499698 	 2886.91199588
uid___A001_X1ee_Xb49.cube_01.J1751+0939_B6.image 	 J1751+0939 6	 226.984375 	 223.015625 	 3540.09600067
uid___A001_X1ee_Xb49.cube_23.J1751+0939_B6.image 	 J1751+0939 6	 239.015625 	 242.984375 	 3540.09600067
uid___A001_X1ee_Xd10.cube_01.J1256-0547_B8.image 	 J1256-0547 8	 480.521501349 	 476.615251349 	 2712.67199993
uid___A001_X1ee_Xd10.cube_01.J1924-2914_B8.image 	 J1924-2914 8	 480.559535961 	 476.575160961 	 3762.04800033
uid___A001_X1ee_Xed6.cube_0.J0510+1800_B3.image 	 J0510+1800 3	 99.275947837 	 101.244697837 	 3295.00800037
uid___A001_X1ee_Xed6.cube_1.J0510+1800_B3.image 	 J0510+1800 3	 98.9710904146 	 100.939840415 	 3295.00800037
uid___A001_X1ee_Xed6.cube_2.J0510+1800_B3.image 	 J0510+1800 3	 88.1693404146 	 86.2005904146 	 3295.00800037
uid___A001_X340_X134.cube_01.J0006-0623_B8.image 	 J0006-0623 8	 412.237033728 	 415.799533728 	 4521.12000083
uid___A001_X340_X134.cube_01.J0241-0815_B8.image 	 J0241-0815 8	 412.237033728 	 415.799533728 	 2884.89599991
uid___A001_X340_X134.cube_23.J0006-0623_B8.image 	 J0006-0623 8	 403.794658728 	 400.216533728 	 4521.12000083
uid___A001_X340_X134.cube_23.J0241-0815_B8.image 	 J0241-0815 8	 403.794658728 	 400.216533728 	 2884.89599991
uid___A001_X5a5_X2.cube_01.J0342-3007_B7.image 	 	 J0342-3007 7	 339.9242625 	 336.0023875 	 5822.20801163
uid___A001_X5a5_X2.cube_23.J0342-3007_B7.image 	 	 J0342-3007 7	 348.0023875 	 351.9867625 	 5822.20801163
uid___A001_X5ac_X100b.cube_01.J0253-5441_B8.image 	 J0253-5441 8	 399.670597077 	 403.358097077 	 6931.00800036
uid___A001_X5ac_X100b.cube_2.J0253-5441_B8.image 	 J0253-5441 8	 389.44477147 	 387.49164647 	 6931.00800036
uid___A001_X5ac_X138c.cube_0.J0510+1800_B7.image 	 J0510+1800 7	 343.808046627 	 345.792421627 	 3005.95200444
uid___A001_X5ac_X1fe_01.cube_01.J0334-4008_B3.image  J0334-4008 3	 87.9175188031 	 84.1987688031 	 2667.16800022
uid___A001_X5ac_X1fe_01.cube_23.J0334-4008_B3.image  J0334-4008 3	 96.1974941081 	 99.9162441081 	 2667.16800022
uid___A001_X5ac_X1fe_02.cube_01.J0334-4008_B3.image  J0334-4008 3	 91.66678265 	 87.94803265 	 2963.5199995
uid___A001_X5ac_X1fe_02.cube_23.J0334-4008_B3.image  J0334-4008 3	 99.9467123498 	 103.66546235 	 2963.5199995
uid___A001_X5ac_X1fe_03.cube_01.J0334-4008_B3.image  J0334-4008 3	 95.4167656675 	 91.6980156675 	 2667.16800022
uid___A001_X5ac_X1fe_03.cube_23.J0334-4008_B3.image  J0334-4008 3	 103.696746614 	 107.415496614 	 2667.16800022
uid___A001_X5ac_X1fe_04.cube_01.J0334-4008_B3.image  J0334-4008 3	 99.1662123094 	 95.4474623094 	 2667.16800022
uid___A001_X5ac_X1fe_04.cube_23.J0334-4008_B3.image  J0334-4008 3	 107.446173737 	 111.164923737 	 2667.16800022
uid___A001_X5ac_X1fe_05.cube_01.J0334-4008_B3.image  J0334-4008 3	 102.915585549 	 99.196835549 	 2963.52000046
uid___A001_X5ac_X1fe_05.cube_23.J0334-4008_B3.image  J0334-4008 3	 111.195520124 	 114.914270124 	 2963.52000046
uid___A001_X5ac_X2ef.cube_0.J1427-4206_B3.image 	 J1427-4206 3	 109.094014088 	 110.953389088 	 3259.87199974
uid___A001_X5ac_X2ef.cube_1.J1427-4206_B3.image 	 J1427-4206 3	 108.668067966 	 110.527442966 	 3259.87199974
uid___A001_X5ac_X2ef.cube_2.J1427-4206_B3.image 	 J1427-4206 3	 98.7569429663 	 96.8975679663 	 3259.87199974
uid___A001_X5ac_X320.cube_01.J0854+2006_B3.image 	 J0854+2006 3	 97.0419367516 	 93.0575617516 	 3592.51200772
uid___A001_X5ac_X320.cube_23.J0854+2006_B3.image 	 J0854+2006 3	 105.187991279 	 108.984866279 	 3592.51200772
uid___A001_X5ac_X366.cube_2.J1911-2006_B7.image 	 J1911-2006 7	 345.74580325 	 343.88642825 	 2736.72000694
uid___A001_X5ac_X38f.cube_01.J0006-0623_B7.image 	 J0006-0623 7	 339.9242625 	 336.0023875 	 2703.45600224
uid___A001_X5ac_X38f.cube_23.J0006-0623_B7.image 	 J0006-0623 7	 348.0023875 	 351.9867625 	 2703.45600224
uid___A001_X5ac_X406.cube_01.J1427-4206_B7.image 	 J1427-4206 7	 339.4086375 	 335.5180125 	 3223.58398628
